dist_km,lat,lon,elevation_m,elevation_raw_m,slope_rad,slope_deg,bearing_deg,segment_km
0.0,-26.8149,27.8321,1481.53,1481.52,0.004664,0.2672,309.14,0.1
0.1,-26.814446,27.831475,1481.99,1475.08,-0.000434,-0.0248,309.14,0.1
0.2,-26.813992,27.830851,1481.44,1484.31,-0.01279,-0.7328,309.14,0.1
0.3,-26.813539,27.830226,1479.43,1485.53,-0.021205,-1.2149,309.14,0.1
0.4,-26.813085,27.829602,1477.2,1471.35,-0.013278,-0.7608,309.14,0.1
0.5,-26.812631,27.828977,1476.78,1474.87,0.006326,0.3625,309.14,0.1
0.6,-26.812178,27.828352,1478.46,1482.29,0.018358,1.0518,309.14,0.1
0.7,-26.811724,27.827728,1480.45,1480.34,0.015101,0.8652,309.14,0.1
0.8,-26.81127,27.827103,1481.48,1482.1,0.009052,0.5187,309.14,0.1
0.9,-26.810816,27.826479,1482.26,1478.19,0.011812,0.6768,309.14,0.1
1.0,-26.810362,27.825854,1483.85,1487.12,0.018385,1.0534,309.14,0.1
1.1,-26.809909,27.825229,1485.94,1486.88,0.01686,0.966,309.14,0.1
1.2,-26.809455,27.824605,1487.22,1483.59,0.003976,0.2278,309.14,0.1
1.3,-26.809001,27.82398,1486.73,1489.16,-0.011882,-0.6808,309.14,0.1
1.4,-26.808548,27.823356,1484.84,1486.12,-0.018275,-1.0471,309.14,0.1
1.5,-26.808094,27.822731,1483.08,1479.75,-0.009937,-0.5693,309.14,0.1
1.6,-26.80764,27.822106,1482.85,1486.15,0.0047,0.2693,309.14,0.1
1.7,-26.807186,27.821482,1484.02,1479.77,0.011292,0.647,309.14,0.1
1.8,-26.806733,27.820857,1485.11,1489.21,0.00623,0.357,309.14,0.1
1.9,-26.806279,27.820232,1485.26,1484.83,0.000289,0.0165,309.14,0.1
2.0,-26.805825,27.819608,1485.17,1484.41,0.002311,0.1324,309.14,0.1
2.1,-26.805371,27.818983,1485.73,1482.18,0.006629,0.3798,309.14,0.1
2.2,-26.804918,27.818359,1486.5,1491.95,0.003885,0.2226,309.14,0.1
2.3,-26.804464,27.817734,1486.5,1485.32,-0.002999,-0.1718,309.14,0.1
2.4,-26.80401,27.817109,1485.9,1484.2,-0.003781,-0.2166,309.14,0.1
2.5,-26.803556,27.816485,1485.75,1484.83,0.004076,0.2336,309.14,0.1
2.6,-26.803102,27.81586,1486.71,1489.5,0.01488,0.8526,309.14,0.1
2.7,-26.802649,27.815236,1488.72,1488.92,0.022593,1.2945,309.14,0.1
2.8,-26.802195,27.814611,1491.23,1489.4,0.020521,1.1758,309.14,0.1
2.9,-26.801741,27.813986,1492.83,1489.73,0.002908,0.1666,309.14,0.1
3.0,-26.801288,27.813362,1491.81,1498.53,-0.021586,-1.2368,309.14,0.1
3.1,-26.800834,27.812737,1488.51,1486.03,-0.028656,-1.6418,309.14,0.1
3.2,-26.80038,27.812113,1486.08,1485.75,-0.006558,-0.3757,309.14,0.1
3.3,-26.799926,27.811488,1487.2,1484.48,0.021717,1.2443,309.14,0.1
3.4,-26.799472,27.810863,1490.42,1491.87,0.022455,1.2866,309.14,0.1
3.5,-26.799019,27.810239,1491.69,1494.67,-0.00454,-0.2601,309.14,0.1
3.6,-26.798565,27.809614,1489.52,1488.69,-0.023797,-1.3635,309.14,0.1
3.7,-26.798111,27.80899,1486.93,1485.3,-0.010186,-0.5836,309.14,0.1
3.8,-26.797658,27.808365,1487.48,1485.61,0.019018,1.0897,309.14,0.1
3.9,-26.797204,27.80774,1490.73,1493.22,0.028371,1.6255,309.14,0.1
4.0,-26.79675,27.807116,1493.15,1493.92,0.009574,0.5486,309.14,0.1
4.1,-26.796296,27.806491,1492.65,1493.15,-0.012162,-0.6968,309.14,0.1
4.2,-26.795843,27.805866,1490.72,1487.34,-0.012927,-0.7407,309.14,0.1
4.3,-26.795389,27.805242,1490.06,1492.05,0.003487,0.1998,309.14,0.1
4.4,-26.794935,27.804617,1491.42,1491.7,0.016582,0.9501,309.14,0.1
4.5,-26.794481,27.803993,1493.38,1492.44,0.015084,0.8642,309.14,0.1
4.6,-26.794028,27.803368,1494.44,1495.93,0.005279,0.3025,309.14,0.1
4.7,-26.793574,27.802743,1494.44,1492.92,-0.00124,-0.071,309.14,0.1
4.8,-26.79312,27.802119,1494.19,1495.42,-0.001577,-0.0904,309.14,0.1
4.9,-26.792666,27.801494,1494.12,1492.58,-0.002272,-0.1302,309.14,0.1
5.0,-26.792212,27.80087,1493.73,1493.91,-0.008446,-0.4839,309.14,0.1
5.1,-26.791759,27.800245,1492.43,1495.84,-0.015852,-0.9083,309.14,0.1
5.2,-26.791305,27.79962,1490.56,1485.62,-0.015709,-0.9001,309.14,0.1
5.3,-26.790851,27.798996,1489.29,1491.52,-0.004657,-0.2668,309.14,0.1
5.4,-26.790398,27.798371,1489.63,1490.99,0.012279,0.7035,309.14,0.1
5.5,-26.789944,27.797747,1491.74,1490.36,0.024961,1.4302,309.14,0.1
5.6,-26.78949,27.797122,1494.62,1492.39,0.023204,1.3295,309.14,0.1
5.7,-26.789036,27.796497,1496.39,1501.46,0.004998,0.2864,309.14,0.1
5.8,-26.788582,27.795873,1495.62,1489.87,-0.016986,-0.9732,309.14,0.1
5.9,-26.788129,27.795248,1492.99,1499.25,-0.022884,-1.3111,309.14,0.1
6.0,-26.787675,27.794624,1491.05,1486.2,-0.005041,-0.2888,309.14,0.1
6.1,-26.787221,27.793999,1491.98,1493.15,0.021578,1.2363,309.14,0.1
6.2,-26.786768,27.793374,1495.36,1495.85,0.032487,1.8614,309.14,0.1
6.3,-26.786314,27.79275,1498.48,1498.17,0.018496,1.0597,309.14,0.1
6.4,-26.78586,27.792125,1499.06,1499.0,-0.004788,-0.2743,309.14,0.1
6.5,-26.785406,27.791501,1497.52,1499.62,-0.014267,-0.8174,309.14,0.1
6.6,-26.784953,27.790876,1496.21,1494.11,-0.005779,-0.3311,309.14,0.1
6.7,-26.784499,27.790251,1496.37,1493.75,0.001868,0.107,309.14,0.1
